ticker,n_trades,outcome,p,d,q,arima_order,aic,adf_p,lb_p,rmse,mae,random_walk
KXNBATOTAL-26APR02NOPPOR-238,514,0,2,1,0,"ARIMA(2,1,0)",-2518.34,0.2395,0.0701,0.1386,0.1179,Yes
KXNBASPREAD-26APR02CLEGSW-CLE13,511,0,1,1,1,"ARIMA(1,1,1)",-2456.95,0.7077,0.5156,0.0916,0.0768,Yes
KXNBASPREAD-26APR02NOPPOR-NOP2,510,0,0,1,0,"ARIMA(0,1,0)",-2523.61,0.1442,0.1409,0.0455,0.0445,Yes
KXNBATOTAL-26APR02NOPPOR-223,483,1,1,1,0,"ARIMA(1,1,0)",-2124.58,0.9773,0.1628,0.2213,0.2044,Yes
KXNBATOTAL-26APR02CLEGSW-217,461,1,0,1,1,"ARIMA(0,1,1)",-2091.8,0.1948,0.681,0.0642,0.054,Yes
KXUE-RUS26FEB-2.3,418,0,1,1,1,"ARIMA(1,1,1)",-2260.14,0.1578,0.5014,0.0439,0.025,Yes
KXCS2GAME-26APR021900BOSSREGAIN-BOSS,402,1,3,1,1,"ARIMA(3,1,1)",-1645.66,0.1055,0.2727,0.0912,0.08,Yes
KXNBATOTAL-26APR02CLEGSW-235,390,0,1,1,0,"ARIMA(1,1,0)",-1886.11,0.607,0.0624,0.0618,0.0513,Yes
KXNBA1HSPREAD-26APR02NOPPOR-POR3,386,0,1,1,1,"ARIMA(1,1,1)",-1343.05,0.9797,0.5476,0.2608,0.2025,Yes
KXNBA1HTOTAL-26APR02MINDET-109,378,0,0,1,1,"ARIMA(0,1,1)",-764.51,0.8824,0.043,0.2811,0.2464,No
KXNBA1HTOTAL-26APR02PHXCHA-126,372,0,3,1,0,"ARIMA(3,1,0)",-436.48,0.4174,0.0027,0.3498,0.2784,No
KXNBATOTAL-26APR02NOPPOR-247,368,0,2,1,2,"ARIMA(2,1,2)",-1771.52,0.7373,0.748,0.1198,0.0981,Yes
KXNBATOTAL-26APR02NOPPOR-217,363,1,0,1,1,"ARIMA(0,1,1)",-1877.94,0.7314,7e-4,0.1214,0.1059,No
KXNBATOTAL-26APR02CLEGSW-214,341,1,0,1,0,"ARIMA(0,1,0)",-1654.14,0.5827,0.1596,0.0821,0.0662,Yes
KXNBATOTAL-26APR02NOPPOR-244,338,0,3,2,1,"ARIMA(3,2,1)",-1615.59,0.5454,0.5697,0.1096,0.0891,Yes
KXNBATOTAL-26APR02NOPPOR-220,325,1,0,1,1,"ARIMA(0,1,1)",-1528.96,0.9237,0.8784,0.1855,0.1743,Yes
KXNBASPREAD-26APR02CLEGSW-GSW5,309,0,2,1,0,"ARIMA(2,1,0)",-1362.58,0.8119,0.9401,0.0648,0.049,Yes
KXNBA1HTOTAL-26APR02MINDET-112,304,0,2,1,1,"ARIMA(2,1,1)",-561.17,0.0622,0.6664,0.4286,0.3913,Yes
KXNBA1HSPREAD-26APR02PHXCHA-PHX3,302,0,1,1,1,"ARIMA(1,1,1)",-807.16,0.197,0.7738,0.1844,0.1359,Yes
KXNBASPREAD-26APR02CLEGSW-GSW2,298,0,2,1,0,"ARIMA(2,1,0)",-1276.7,0.8457,0.9663,0.2283,0.2132,Yes
